錄音檔檔名,辨認出之客語漢字
4c9nzc3r8i,馬里亞圍落泥圈奧利福三個準時到學校厥等同經過个事情正毋記得咧這係厥等逐日去學校定著會經過个過程
4et6laedpz,阿女當早斯斷烏咧暗夜厥爹厥奶請隔壁鄰舍來食夜
4h9wybdplj,厥屋家人一時著這係對維德个優勢毋過在傳官个撞卵下比毋係總下恁泥雖然印度在二零一零年通過一項法律報應傳民接受毋使錢个義務教育
4mi4f5ickm,藥師傅當好厥聰明个離因致厥離有當好个技巧使得行在當嶇个山路去到學校
4naxct37t0,實在當喜賢雞粒卵既經孵出來咧有兩隻鳥子幾位出子咧
4oemzzup5z,一日一擺百里行有一個動物市區離藥師傅个屋家大約十五公里
4rsb64lk4u,這兜子檀係藥食戶還有阿得萨蘭在士兵訓練个軍事基地發現一般係蛤蟆引爆个
4sg3h9duid,以細力供隨輒輒同厥等个屋打壞撇八粒石大人毋肯同厥等安置好還佔著厥等个土地細人逐日過都分人威脅个生活
4v8v3jq3y3,這滿係暗晡時頭八點經過漫長个一日戽卵忒林當想愛黏時睡目屙痢核當硬殼佢搣戽卵忒林在佢煮飯个時節定著愛同記事簿拿出來
4yhlz2o87p,這兜洋尾會在天頂緊翼厥等个翼鴿還有風較大个時節洋尾會圍緊水坑律律轉
4z1er2q9lu,寒天厥等使得耐過極短个溫度成過下會比零下五十度還較低毋過厥等正正个地人毋係寒係一種烏尋个粒食者佢係狼
566lqsucmg,舊去學校个時節總係行在頭前還有係第一個對山坑肚看著學校个人
58q8jvmzeb,為一個井水這係提供兩百七十戶人家食个水
5af92n34fl,坐船價數係二爐髀得為个莊頭偎堅河硬厥學校斯在河硬个另外一片
5kb6qz04sk,毋過厥離乜當硬殼
5r54d017hh,直直到佢使得正正照顧厥等為止佢同厥等保證若講佢使得做先生佢會倒轉來這位照顧厥等厥夢想係在莊肚開一間毋使錢个醫療中心
5uy7yb5zq9,來醫好兩所有破病个人這斯係𠊎盡大个願望所以𠊎一定會好好讀書
5yyhl7iy3t,伸著三十分鐘都使得準時來到浴室个學校
60yurdzjrb,去戶近行行泥做下係問題佢無法度看車牌坐公車印證毋識事佢愛倚恃別儕盡重要个係厥等希望厥妹使得獨立培養所有生活个技能
62t2h14etq,當好運个係睡个屋離厥等个學校當近
6385xy4q6s,進前送細人去學校讀書係阿里厥爺哀負擔毋起个價數
65tasfsw3l,舅同厥細老妹結吾毋管仰脣抓會三個人共下去學校因為厥等會堵著舅盡好个朋友熟事理
67i8khtjag,斯像係厥家庭作業共款刻一卡總係準時又大聲同厥屋家人講佢愛去學校咧逐日朝晨有十個細人離開莊頭阿姆總係提醒厥等
67vcbgtqk9,啊𠊎盡好个斯係唱歌
69t0mzw3p8,求確定自家行這條細路定著會贏著挑戰
6bdeb64y22,去學校進前做好準備係當重要个事情鑪牙齒剪指甲捋頭那毛毋管係在屋家還係在學校該人个親戚正經當重要先生逐日會檢查學生个服裝耳容
6cvxpg5hlf,佢定著愛學曉大車輪棚風這位單淨兩臺鐵馬分三個細人來騎馬里亞騎細臺鐵馬奧利弗威諾尼克騎大臺个為著應付讀法个創考
6k528z0ka0,都算厥梨幾緊同佢變做火盤咧這隻梨還係當硬殼
6l9kuzh4gi,打早食藥係固定个人生
6p1rb661ad,這隻恁壞老个細船逐日載人客來來去去細船看䟘來快愛散撇个樣逐擺坐船心肝肚著當驚因為厥等無一個人曉出身
6yhnlqxzo5,藥食戶佢緊慣咧因致佢知這分先生死腦筋
73cn08w00g,這三個後生个細阿妹承諾會延續苗族个身份厥等乜得著屋家人个支持鼓勵厥等去學校讀書向世界打開心房
75fo2ahw2d,藥袋河瀝偎堅野路石林順緊東片中心个藥袋坑林園身
75yjufvwdu,教書完成三隻羊骨兩百五十蒂㸐肉
76a5dk2t62,厥姆毋識事無法度同佢𢯭手
76ftw61kxi,厥等愛做決定个係愛買糖還係正鐵馬因為厥等單淨尋著一角銀所以這角銀定著愛去整車
78lmudqxcr,盡好行个路係十中臺印度邊境還有首都加得滿都赴共厥等去學校个時毋識行過較好行个路
7edtksmuxa,阿依伯姆係佢該兜行吂去學校讀書个表老弟表老妹心肝肚个英雄佢對這種个關心試著當沙鼻乜當歡喜來紹介上學个半籃綻堵著个夢險
7fu4x904mg,阿依伯依既經到厥屋票咧佢到厥姊姊个屋家佢同厥奶戴在另外一個莊頭洗這個時節佢離開布爐
7j4yvj0a0w,恁泥細妹呢印度社會同家庭生活有關个事情莊下教分細妹恁泥細妹做麼个愛學虬身哦得會毋接受恁泥男女無公平个觀念
7svh639qbc,這後五公尺深个井斯會有淰淰个水
7wynpdf167,歸個國家个經濟總愛衰弱咧都算生活又屑艱苦厥等單淨一個目標斯係盡自家个能力分細人使得成功實現這目標為一個方式斯係教育
7x7ab2lvaf,𠊎使得教細人讀書寫字𠊎還使教厥等當多志士
7zzn1pc55q,像佢恁泥个年歲這係一個生存个問題可比囹胗其中一隻个囹著都溜其他个囹斯會走撇乜遠離這位在阿依伯依上學个前一日
8146fcdu7i,空氣中个溼度分溼氣還較重今晡下晝天時熱潑潑溫度有四十度恁高
84emkd864f,船項有爛一個空除了停在盡近个倒以外無其他个辦法
85bdk0nf5b,這半箍分風吹壞撇咧
86vgwjatgx,經過五點鐘晒日頭了後厥等還係有當多事情愛做第一厥等定著愛著天光學校規定个制服還有厥等愛復習功課
8b0qymg3uh,厥爸希望得為擱還有厥老妹使得同厥話聽入耳毋會分佢失望
8l48bfo6t7,都算得為厥等單淨使得𢯭做家務厥爺哀還係分佢去學校讀書厥等知受教育當重要
8mv7ajolu6,佢當下同佢堵著个細人講話了解厥等个目標鼓勵厥等煞猛做事培養夢想
8qvlnyu835,佢愛聽厥倈講毋使愁忒多還有佢乜會準時到學校
8szhxwveaj,想討對岸拁若使得靠這細船還愛保佑毋會變船
8wrma2qdc3,藥師傅知一個好所在毋過這當危險阿弟嗄攔當煩愁為著到該片定著愛偷走入去已色列个軍事機體
91p1e1yums,毋過厥爸有交見个愛仰脣撇面
94k110k25t,這國家个細倈總愛畜歸屋大細得為个生活肚做下係細妹佢有當多個姊妹進度人認為細妹人無幾多个幫助
98178chgve,去學校之前佢尋厥同學
985qlrovdb,在恁泥个情況之下厥等無法度轉屋家厥等較需要做頭麼个呢
98kj9wtchb,阿姊去讀中學老妹去讀小學行个路係無共款个
98lpthe0gp,這位个細人專係隔壁鄰舍恁多都使得子神腳求隨
9b5qngnxgp,阿爸同恁多妹輒輒討論著這件事情來慣輸責任感乜有力厥等學習厥爸了解印度之長个黏條現實乜經過這兜妹愛擱較努力正有機會出頭天
9batvlhz04,佢同厥兄弟阿德赫蘭尋著一種方式洗靠拈金属物品過用賤金賣出去來賺兜私伽
9bgtlmw6ft,同大部分个阿洲國家文化共款在泥縫耳家庭係當重要个客體卡同厥爹厥奶當親佢乜當依賴厥爹厥奶舊年厥爸乜會帶佢去學校
9cmufamtgh,這兩個兄弟一個係十三歲一個係十四歲厥等有十個兄弟姊妹還有係農家出身个
9dchj9au46,今位係考試个日得會同哈努曼討過佢係中心力量智識个神
9gka87lax8,決定卡同厥朋友愛行一點鐘个路大約四公里个路程正使得到學校
9iugnqopmt,厥等愛買食物還有基本个用品來維持一禮拜个生活
9k4ei1a3vg,都算佢當好這兜山毋過佢乜疑狐敢使得延續厥爺哀个生活方式佢可能會做出離開个決定
9peexfe2i5,戴个抓係樹草个屋地泥係當年使个地泥地板又無窗門也無隔枋
9slitqn1jv,赴懶歇淋想愛做村長
9v9zvn18mm,高不將愛分開个情況之下打電話使得聯絡兩子爺个感情阿爸乜使得借這機會關心妹个功課恁泥佢使得確保細人係認真讀書个好學生
9w699qfi9d,該厥等个遊樂場
9x9phdgw6b,厥等在路項點半點鐘咧逐擺个挑戰總愛會分厥等浪費當多个時間這當難去尞想會發生麼个狀況厥等還有時間
DF205J2067_001,五月節愛食粽
DF205J2067_002,寒著愛戴嘴揞
DF205J2067_003,你哪位毋鬆爽
DF205J2067_004,若手機幾多號
DF205J2067_005,若功課做好吂
DF205J2067_006,𠊎會細義兜
DF205J2067_007,當歡喜認識你
DF205J2067_008,實在還難相信
DF205J2067_009,這個想法已好
DF205J2067_010,勞瀝若个照顧
DF205J2067_011,使得無使毋得
DF205J2067_012,你曉無無問題
DF205J2067_013,𠊎已好食青菜
DF205J2067_014,𠊎想學做麵包
DF205J2067_015,你愛食麼个飲料
DF205J2067_016,阿叔毋慣著西裝
DF205J2067_017,這皮包係麼人个
DF205J2067_018,這雙鞋無幾合腳
DF205J2067_019,臺灣不時有地動
DF205J2067_020,這位个民宿當靚
DF205J2067_021,這位使毋得食菸
DF205J2067_022,上課毋好啄目睡
DF205J2067_023,今晡日天時已好
DF205J2067_024,昨晡日無閒歸日
DF205J2067_025,天時變到已涼爽
DF205J2067_026,天光朝晨正聯絡
DF205J2067_027,老妹揹書包去學校
DF205J2067_028,阿妹當好食菜頭粄
DF205J2067_029,阿爸愛去申請護照
DF205J2067_030,定定行毋使趕緊
DF205J2067_031,寒天北部長在落雨
DF205J2067_032,毋好為著這來失志
DF205J2067_033,係麼人打來个電話
DF205J2067_034,垃圾愛做資源回收
DF205J2067_035,請問需要麼个服務
DF205J2067_036,恭喜發財新年快樂
DF205J2067_037,𠊎愛你佢起譴咧
DF205J2067_038,今晡日个菜口味仰脣
DF205J2067_039,請毋好在車肚食東西
DF205J2067_040,學生愛著制服去學校
DF205J2067_041,阿伯戴个樓屋有電梯
DF205J2067_042,𠊎行路去郵局寄信
DF205J2067_043,𠊎在十字路口等你
DF205J2067_044,佢這擺用信用卡付款
DF205J2067_045,老弟通過認證考試了
DF205J2067_046,在網路買東西當利便
DF205J2067_047,心个頭路你做得慣無
DF205J2067_048,今晡放尞毋使去學校
DF205J2067_049,歇睏一下恁久無看着
DF205J2067_050,勞瀝毋使細義失禮
DF205J2067_051,敗勢無關係拜託你
DF205J2067_052,你識佢無𠊎毋識佢
DF205J2067_053,𠊎當𤸁𠊎當暢
DF205J2067_054,阿爸逐朝脣都愛食咖啡
DF205J2067_055,佢著新褲去外阿婆屋家
DF205J2067_056,請問這領衫係麼个尺寸
DF205J2067_057,恁吵鬧你仰脣佇得著
DF205J2067_058,厥等逐暗晡都愛去補習
DF205J2067_059,熱天大家較好去海脣尞
DF205J2067_060,有病愛遽遽去分先生看
DF205J2067_061,今晡日个報紙你有看吂
DF205J2067_062,𠊎昨暗晡翻躁睡毋得
DF205J2067_063,表哥逐日都當認真做事
DF205J2067_064,暗晡頭駛車愛較注意兜
DF205J2067_065,請問使得尋麼人𢯭手
DF205J2067_066,你曉得吂分𠊎想一下
DF205J2067_067,你戴哪位有人在屋家無
DF205J2067_068,𠊎轉來咧你愛去哪位
DF205J2067_069,恁早食飽吂恁久好無
DF205J2067_070,還得人惜喔還得人惱喔
DF205J2067_071,你還慶喔哪有無影啦
DF205J2067_072,吾等輒輒共下鬥緊買美食
DF205J2067_073,生菇个東西斯使毋得食欸
DF205J2067_074,天光日使得在屋家打電動
DF205J2067_075,共下這公園運動啊嚟
DF205J2067_076,這條路較近該條路較遠
DF205J2067_077,食酒莫駛車駛車莫食酒
DF205J2067_078,𠊎無閒去會轉鉸毋得咧
DF205J2067_079,阿爸無在屋家阿姆還吂轉
DF205J2067_080,正來尞順行有閒正來尞
DF205J2067_081,厥老公當派頭若餔娘當靚
DF205J2067_082,天時多變化愛著較燒暖兜
DF205J2067_083,便利商店使得買著當多東西
DF205J2067_084,下次擺過再約時間共下坐尞
DF205J2067_085,當晝頭當熱毋好出去運動
DF205J2067_086,𠊎當講緊電話請等一下
DF205J2067_087,𠊎準備好了使得開始了
DF205J2067_088,這件事情分你講到恁輕可
DF205J2067_089,敗勢勞攪了你愛赴時間無
DF205J2067_090,有麼个問題無你想去真周到
DF205J2067_091,這站無閒麼个佢愛照顧厥姆
DF205J2067_092,客人用覆菜做等路已受歡迎
DF205J2067_093,阿爹有糖尿病使毋得食忒甜
DF205J2067_094,電火關撇佢麻煩你開電火好無
DF205J2067_095,遽兜會赴毋着咧駛車愛細義
DF205J2067_096,請問上姓𠊎姓黃安做大民
DF205J2067_097,生日快樂身體康健萬事如意
DF205J2067_098,客家文化園區輒輒舉辦展覽活動
DF205J2067_099,你今晡著都恁派頭愛去食酒係無
DF205J2067_100,你慢到咧請等一下𠊎黏時來
DF205J2067_101,𠊎愛睡當晝恁夜咧好去睡目咧
DF205J2067_102,阿爹在間肚歇睏老弟在廳下看電視
DF205J2067_103,阿姆在灶下煮飯𠊎逐朝晨掃地泥
DF205J2067_104,有人客來毋好打赤膊入屋請脫鞋
DF205J2067_105,坐火車愛先買票請問高鐵車頭仰脣行
DF205J2067_106,𠊎尿出想愛屙尿老妹在洗身間洗身
DF205J2067_107,喊計程車毋使愁停車問題坐飛行機較遽
DF205J2067_109,老人家坐巴士毋使錢坐捷運使毋得食東西
DF205J2067_110,寒天著膨線衫當燒暖熱天當熱著短袖斯使得咧
DF205J2067_111,頭前斡正手片斯到新竹縣政府咧
DF205J2067_112,佢戴哪位佢戴屏東縣
DF205J2067_113,會議地點在哪位會議地點在屏東縣新卑鄉
DF205J2067_114,這張相片係麼个所在這係連江縣東引鄉
DF205J2067_115,請問彰化縣鑪港鎮公所在幾多樓在八樓
DF205J2067_116,𠊎愛轉臺北火車停在第六月台愛遽遽去正毋會赴毋着
DF205J2067_117,阿哥後日愛坐五點个火車去潮州出差
DF205J2067_118,天光𠊎愛坐頭枋車去花蓮車到站咧遽遽落車
DF205J2067_119,請問鳳山火車頭仰脣去𠊎帶你去火車頭還多人哦
DF205J2067_120,接送車會對本院駛到潮州火車頭在本院大門口坐車
DF205J2067_121,請問你對哪位來𠊎對基隆來
DF205J2067_122,吾爸準備愛去臺南出差個半月
DF205J2067_123,佢一個人去南投打拚厥姆當愁
DF205J2067_124,請問你識來過彰化無
DF205J2067_125,請問𠊎愛去新竹愛仰脣盤車
DF205J2067_126,請問到臺東愛駛幾久愛駛八點鐘久
DF205J2067_127,到澎湖大約還有幾多公里還有三公里
DF205J2067_128,阿松哥十月十九愛討餔娘
DF205J2067_129,二月二十五學校放尞該日來去看電影好無
DF205J2067_130,根據政府个公告十月初六放尞毋過前一個禮拜六愛上班
DF205J2067_131,王先生你掛个係八月十八朝脣个門診
DF205J2067_132,報名對六月初七起勢到七月初六為止
DF205J2067_133,客語認證个認證日係十一月初十
DF205J2067_135,今年客家桐花祭對四月十二開始到五月二十七為止
DF205J2067_136,今晡係拜幾今晡係拜二店項有買一送一个活動
DF205J2067_137,你同𠊎看下今晡係拜幾今晡係拜四
DF205J2067_138,下禮拜三愛考試你知無下禮拜一愛記得交作業
DF205J2067_139,上禮拜六歸日落雨
DF205J2067_140,拜五佢請假你代理一下好無
DF205J2067_141,𠊎無戴時錶毋知這下幾多點這滿係十一點
DF205J2067_142,你天光愛坐幾多點个火車𠊎愛坐一點个火車
DF205J2067_143,今晡十二點愛開會哦請𢯭手準備資料
DF205J2067_144,六點好食飯咧食飯前愛先洗手食飯後愛湯嘴
DF205J2067_145,超過八點還吂到斯算慢到咧
DF205J2067_146,𠊎逐日三點愛看電視新聞毋好緊看電視目珠會看壞撇
DF205J2067_147,天時轉好咧你等加有閒無十點共下來去運動
DF205J2067_148,這下幾多點咧九點大家共下來去打鬥敘
DF205J2067_149,你天光幾多點愛來七點若等先食緊來毋怕
DF205J2067_150,為着赴兩點看電視佢划飯划當遽
DF205J2067_151,失禮哦請你天光四點正過打電話來掛號
DF205J2067_153,一百空百年度客語認證正式開始報名哩喲
DF205J2067_154,小姐先生𠊎愛點菜𠊎愛點六號餐
DF205J2067_155,你愛辦个業務在七樓𠊎同你𢯭手搤電梯
DF205J2067_156,請對四號櫃檯脣項个樓梯行往上斯在一樓
DF205J2067_157,門診間在九樓你坐電扶梯上去門診間斯在若左手片
DF205J2067_158,九十四路公車來咧遽遽上車
DF205J2067_159,若屋下个門牌係幾多號吾屋下个門牌係九十號
DF205J2067_160,老弟自溜都當聽話佢正考着五十三分爺哀當失望
DF205J2067_161,請問你幾多號𠊎係六十二號
DF205J2067_162,一斤正九十七箍忒等價數當實在較便宜兜好無
DF205J2067_163,佢在路項拈著三十六箍
DF205J2067_164,這西瓜幾多錢六十六箍
DF205J2067_165,你掛个係六十號愛先同你收掛號費兩百箍
DF205J2067_166,請你去藥局領藥若个號碼係二十二號勞瀝請慢行
DF205J2067_167,你係七十二號等加喊着若號碼正請你去櫃台辦理
DF205J2067_168,這索幾長八十六公尺這菜仰脣賣一抓五十九箍
DF205J2067_169,檢查報告大約愛等七十四分鐘請你先坐一下
DF205J2067_170,司機先生𠊎愛趕時間四十三分鐘會到無
DF205J2067_171,好䟘床咧遽遽去洗面鑪牙齒還愛幾久過八分鐘
DF205J2067_172,佢這擺買火車票買撇三百箍
DF205J2067_173,這隻幾多錢這隻六千八百箍
DF205J2067_174,佢去遶百貨公司刷卡買東西用撇四萬箍
DF205J2067_175,桌項有九支暖罐紙箱裡肚有六粒球
DF205J2067_176,對這項行路去火車頭愛行五分鐘
DF205J2067_177,這本書總共有兩百頁𠊎算一下總共愛九百箍
DF205J2067_178,你幾多歲咧𠊎今年七歲
DF205J2067_179,這領衫買撇𠊎八百箍
DF205J2067_180,頭家雞卵一斤幾多錢雞卵一斤十四箍
DF205J2067_181,伸這兜歸下賣你六百箍斯好
DF205J2067_182,𠊎聽講阿美著著四千萬个大獎有影影無影
DF205J2067_183,桌當久無捽塵灰當賁喊九個人過去該片𢯭手
DF205J2067_184,請問若屋家有幾多人吾屋家總共有五個人
DF205J2067_185,𠊎今晡慢到兩分鐘分先生罵
DF205J2067_186,佢請假七日分頭家扣月給
DF205J2067_187,請問到終點還有幾多站還有八站斯會到咧
DF205J2067_188,若倈今年幾多歲吾倈今年三歲還得人惜哦
DF205J2067_189,六斤牛眼毋知係忒多抑係忒少
DF205J2067_190,頭家請四個細妹來拉生理
DF205J2067_191,係愛掛號麻煩健保卡分𠊎還過繳九百箍
DF205J2067_192,三餐食飽飯食藥一日食三擺一擺五粒
DF205J2067_193,這兩種藥毋好共下食愛間兩點鐘正好食哦
DF205J2067_194,愛注意喔這兩種目藥水請間七點鐘正點
DF205J2067_195,你愛尞幾久𠊎愛尞百日因為阿舅愛討餔娘
DF205J2067_196,吾等有三個人吾等想愛坐偎窗門个位
DF205J2067_197,作文題目係𠊎若係有六萬箍想愛做麼个
DF205J2067_198,夜市肚个牛仔褲一領正賣四百又靚又便宜
DF205J2067_199,𠊎恁久嗽無停你哪時注意着這個問題九日前
DF205J2067_200,檢查好咧五日後正轉來分先生看聽報告
DF205K2001_001,火黏蟲這幾年見到國曆四月中到五月初
DF205K2001_002,係油桐花開个季節
DF205K2001_003,同時又係𫣆等中部火黏蟲大出个時節
DF205K2001_004,苗栗臺中偎山个所在有當多生理人
DF205K2001_005,用日時頭賞桐花
DF205K2001_006,暗晡頭探火黏蟲个活動來廣告
DF205K2001_007,餳來臺灣各地个人客
DF205K2001_008,在這段時間中部地區个觀光景點日日人尖人
DF205K2001_009,也同這兜生理人个錢袋塞淰淰
DF205K2001_010,滿山个油桐花開都白蓬蓬正經係當靚个風景
DF205K2001_011,暗昏了後歸陣个火黏蟲又會帶分人客無共樣个享受
DF205K2001_012,因致恁泥人客看花賞火黏蟲笑咪咪
DF205K2001_013,生理人算錢也算去牙絲絲
DF205K2001_014,火黏蟲對吾等這兜莊下細人來講實在無麼个稀奇
DF205K2001_015,斯像春天開花秋天落葉恁自然
DF205K2001_016,記得𠊎做細人該下
DF205K2001_017,熱天食飽夜阿姆還在灶下撿揫
DF205K2001_018,阿爹阿奶擎核葵扇在禾埕坐涼打嘴鼓
DF205K2001_019,阿哥斯會帶緊𠊎同老弟捉火黏蟲搞
DF205K2001_020,該當時个火黏蟲滿哪都係禾埕項斯看得著
DF205L2067_001,佢食忒多酒醉都行路橫來橫去
DF205L2067_002,做大水个時節這河壩做下係泥漿水
DF205L2067_003,佢表命項係恁泥講私下斯毋知咧
DF205L2067_004,新娘看起來當後生怕二十歲忒等
DF205L2067_005,阿慶姨正手術出來還殗殗講話無力
DF205L2067_006,𠊎識同阿爹𢯭手用泥圝㧡骨轉屋
DF205L2067_007,過年過節共派人會共下來拜祖公
DF205L2067_008,這菜有影好食使得教𠊎煮無
DF205L2067_009,阿姆个簞笥係請無相做个手工當幼
DF205L2067_010,水放較少兜糜正使得煮到恁醹
DF205L2067_011,阿手日日打早斯去運動毋識推懶
DF205L2067_012,坐高鐵對臺北到臺中成點鐘斯到咧
DF205L2067_013,棚頂囥當多阿舅頭擺做細人時个玩具
DF205L2067_014,舊生園跳落海竇救著一個盡著个細人
DF205L2067_015,阿爹逐朝晨會去公園運動
DF205L2067_016,工人挖大路毋堵好同水管挖斷撇
DF205L2067_017,這兩家人見拜冤家斯愛請里長講和
DF205L2067_018,毋好在這敲菸屎去垃圾桶該片敲
DF205L2067_019,愛去你自家去麼人有閒手腳好去
DF205L2067_020,學校个客語教材係先生自家編輯个
DF205L2067_021,厥兩儕當相好大家已看好這段婚姻
DF205L2067_022,你同阿爹盤水順續擐到浴堂項
DF205L2067_023,佢當枵一碗糜兩下半斯食淨淨咧
DF205L2067_024,老弟額頭摸著燒炣燒炣怕係寒著咧
DF205L2067_025,恁無堵好阿亮厥歸家人出國去尞咧
DF205L2067_026,𠊎又毋識去過嗄會知愛戴麼个
DF205L2067_027,佢當會講古逐儕都聽著耳角角
DF205L2067_028,風搓會來咧阿爹鋸撇幾下椏樹椏
DF205L2067_029,佢早都收山無做咧毋使過湊佢入股
DF205L2067_030,阿原哥討心臼大家鬥陣來去分佢請
DF205L2067_031,車輪騎起來無風毋知分麼个刺著
DF205L2067_032,救生員跳落海鬥救著一個盡著个細人
DF205L2067_033,這蜆敢有養過仰脣食起來沙沙
